Tamazight,francais,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⵜⵉⵏⵏⵓⴱⴹⴰ ⵉⵀⵢⵢⴰⵏ,Bonne gouvernance,حكامة جيدة,tinnubḍa ihyyan,تيننوبضا يهييان,Good governance
ⵜⵉⵏⵏⵓⵜⵍⴰ ⵏ ⵉⵙⴼⴽⴰ,confidentialité des données,سرية المعطيات,tinnutla n isfka,تيننوتلا ن يسفكا,Data confidentiality
ⵓⵜ ⵜⵉⵏⵣⵉ,éternuer,عطَس,ut tinzi,وت تينزي,He sneezed.
ⵜⵉⵔⵎⵜ ⵏ ⵡⴰⵎⴰⵏ,part d'eau d'irrigation,حصَّة السقي,tirmt n waman,تيرمت ن وامان,The watering session.
ⵜⵉⵔⵎⵜ ⵜⵉⵙⵍⵉⵥⵉⵕⵜ,part audiovisuelle,حصَّة السمعي البصري,tirmt tisliẓiṛt,تيرمت تيسليزّيرت,The audiovisual session.
ⴰⵏⵙⵙⵉⵅⴼ ⵏ ⵜⵉⵔⵔⴰ,rédacteur en chef,رئيس التحرير,anssikhf n tirra,انسسيخف ن تيررا,Editor-in-Chief
ⵉⵣⵔⵉⵔⵉ ⵏ ⵜⵉⵔⵔⴰ,ligne éditoriale,خط تحرير,izriri n tirra,يزريري ن تيررا,Line of liberation
ⵜⵉⵔⵔⴰ ⴽⵯⵏⴰⵏⵉⵏ,écriture en italique,كتابة مائلة,tirra kⵯnanin,تيررا كⵯنانين,Italic writing
ⵜⵉⵔⵔⴰ ⵏ ⵓⴼⵓⵙ,signature,إمضاء، توقيع,tirra n ufus,تيررا ن وفوس,"Signature, signing"
ⵜⵉⵔⵖⵉ ⵜⴰⵏⴰⴷⴷⴰⵡⵜ,température minimale,حرارة دنيا,tirghi tanaddawt,تيرغي تانادداوت,The heat of the world.
ⵜⵉⵔⵖⵉ ⵜⴰⵏⴰⴼⵍⵍⴰⵜ,température maximale,حرارة قصوى,tirghi tanafllat,تيرغي تانافللات,Extreme heat
ⴰⵎⵙⴽⵯⴼⵍ ⵏ ⵜⵔⵖⵉ,gradient thermique,ممال حراري,amskⵯfl n trghi,امسكⵯفل ن ترغي,Thermal conductor
ⴰⵏⴰⵎⵎⴰⵙ ⵏ ⵜⵔⵖⵉ,température moyenne,متوسط الحرارة,anammas n trghi,انامماس ن ترغي,Average temperature
ⴰⵖⵍⴰⵢ ⵏ ⵜⵔⵖⵉ,accès de fièvre,ارتفاع الحمّى,aghlay n trghi,اغلاي ن ترغي,The rise of fever.
ⵓⴳⵓⵣ ⵏ ⵜⵔⵖⵉ,chute des températures,انخفاض درجة الحرارة,uguz n trghi,وڭوز ن ترغي,A decrease in temperature.
ⵓⵍⵓⵢ ⵏ ⵜⵔⵖⵉ,hausse des températures,ارتفاع درجة الحرارة,uluy n trghi,ولوي ن ترغي,The rise in temperature.
ⵜⴰⵎⵣⴰⵣⵜ ⵏ ⵜⵔⵖⵉ,vague de chaleur,موجة حرارة,tamzazt n trghi,تامزازت ن ترغي,Heatwave
ⵜⴰⵏⴰⵎⵎⴰⵙⵜ ⵏ ⵜⵔⵖⵉ,amplitude thermique,المدى الحراري,tanammast n trghi,تانامماست ن ترغي,The temperature range
ⵜⴰⵙⴽⴰⵍⴰ ⵏ ⵜⵔⵖⵉ,échelle de température,سلم الحرارة,taskala n trghi,تاسكالا ن ترغي,"""Thermal ladder"" or ""Temperature scale,"" depending on the context."
ⵜⵉⵕⵥⵉ ⵏ ⵉⵣⵔⴼⴰⵏ ⵏ ⵓⵎⴳⴰⵢ,violation de droits d’auteur,خرْق حقوق المؤلف,tiṛẓi n izrfan n umgay,تيرزّي ن يزرفان ن ومڭاي,Violation of copyright.
ⵜⵉⵕⵥⵉ ⵏ ⵓⵍⵓⴳⵏ,violation de la loi,خرْق القانون,tiṛẓi n ulugn,تيرزّي ن ولوڭن,Violation of the law
ⵜⵉⵕⵥⵉ ⵏ ⵜⴰⵍⵍⵉⵏ,plaie de la cornée,جرْح في قرنية العين,tiṛẓi n tallin,تيرزّي ن تاللين,A corneal injury.
ⵜⵉⵕⵥⵉ ⵜⴰⵎⵓⵟⵟⵓⵏⵜ,fracture numérique,فجوة رقمية,tiṛẓi tamuṭṭunt,تيرزّي تاموططونت,Digital divide
ⵜⵉⵕⵥⵉ ⵏ ⵡⴰⵙⵉⴼ,méandre de la rivière,منعطف نهري,tiṛẓi n wasif,تيرزّي ن واسيف,River bend
ⵜⵉⵖⵉⵙⵜ ⵜⴰⴷⵎⵙⴰⵏⵜ,intelligence économique,ذكاء اقتصادي,tighist tadmsant,تيغيست تادمسانت,Economic intelligence
ⵜⵉⵖⵎⵔⵜ ⵜⴰⵎⵇⵔⴰⵏⵜ,"grand angle, grand coin",زاوية كبرى,tighmrt tamqrant,تيغمرت تامقرانت,A major angle.
ⴰⵥⵓⵕ ⵏ ⵜⵖⵎⵙⵜ,racine (de la dent),جذر (سن),aẓuṛ n tghmst,ازّور ن تغمست,"The root (سن) translates to ""root (tooth)"" or ""root (age)"" depending on the context. Could you provide more context for a precise translation?"
ⵓⵣⵓⴼ ⵏ ⵜⵖⵎⴰⵙ,déchaussement de la gencive,انحسار اللثة,uzuf n tghmas,وزوف ن تغماس,Gum recession
ⵓⵥⵕ ⵏ ⵜⵖⵎⵙⵜ,dentine (ivoire),عاج السن,uẓṛ n tghmst,وزّر ن تغمست,Ivory.
ⵜⵉⴷⵔⵉ ⵏ ⵜⵖⵎⵙⵜ,couronne de dent,تاج السن,tidri n tghmst,تيدري ن تغمست,The crown of the tooth.
ⵜⵉⵖⵎⵙⵜ ⵏ ⴷⴰⵜ,incisive,قاطعة,tighmst n dat,تيغمست ن دات,"""Interrupting"" or ""cutting off,"" depending on the context. Could you provide more context for a more accurate translation?"
ⵜⵉⵖⵎⵙⵜ ⵏ ⵍⵄⵇⵍ,dent de sagesse,ضرس العقل,tighmst n l3ql,تيغمست ن لعقل,Wisdom tooth
ⵜⵉⵖⵎⵙⵜ ⵏ ⵡⵓⴷⵎ,incisive,قاطعة,tighmst n wudm,تيغمست ن وودم,"""Interrupting"" or ""cutting off,"" depending on the context. Could you provide more context for a more accurate translation?"
ⵜⵉⵣⵉ ⵏ ⵜⵙⴳⴳⵔⵜ,période de stérilisation,مُدَّة التَّعْقِيم,tizi n tsggrt,تيزي ن تسڭڭرت,The duration of sterilization.
ⴰⵜⵉⴳ ⵏ ⵜⵙⴳⴳⵔⵜ,valeur de stérilisation,قِيمَة التَّعْقِيم,atig n tsggrt,اتيڭ ن تسڭڭرت,The value of sterilization.
ⵜⵉⵙⴳⵉⵜ ⵜⴰⵎⴳⵔⵓⵜ,Dépôt communal,مستودع جماعي,tisgit tamgrut,تيسڭيت تامڭروت,Collective warehouse
ⴰⵣⵍⵍⵉⴼ ⵏ ⵜⵉⵙⴽⵔⵜ,gousse d'ail,رأس فص ثوم,azllif n tiskrt,ازلليف ن تيسكرت,A head of garlic.
ⴰⴳⴳⵉⵡⵙ ⵏ ⵜⵙⵔⵉ,contrôle de croissance,مراقبة النمو,aggiws n tsri,اڭڭيوس ن تسري,Monitoring growth
ⴰⵣⴰⵖ ⵏ ⵜⵉⵟⵟⴰⵡⵉⵏ,xérophtalmie,جفاف العين,azagh n tiṭṭawin,ازاغ ن تيططاوين,Dry eye
ⵜⵉⵟⵟ ⵏ ⵍⴽⴰⵎⵉⵕⴰ,lentille de caméra,عدسة الكاميرا,tiṭṭ n lkamiṛa,تيطط ن لكاميرا,Camera lens
ⵜⵉⵟⵟ ⵏ ⵜⴰⴼⵓⴽⵜ,globe solaire,قرص الشمس,tiṭṭ n tafukt,تيطط ن تافوكت,The disk of the sun
ⴰⵏⴹⴰⵕ ⵏ ⵜⵉⵟⵟⴰⵡⵉⵏ,fixation du regard,حملقة,anḍaṛ n tiṭṭawin,انضار ن تيططاوين,"""Staring"" or ""Gazing."""
ⴰⵣⵍⵍⵓⵎ ⴰⵏⵙⵎⴰⵙⵙⵓ ⵏ ⵜⵉⵟⵟ,nerf moteur oculaire,العصب المحرك للعين,azllum ansmassu n tiṭṭ,ازللوم انسماسسو ن تيطط,The motor nerve of the eye.
ⴰⵥⵓⵕ ⵏ ⵜⵉⵟⵟ,artère ophtalmique,الشريان العيني,aẓuṛ n tiṭṭ,ازّور ن تيطط,The ophthalmic artery
ⵉⵍⵎⵛ ⵏ ⵜⵉⵟⵟ,conjonctive,الملتحمة (في العين),ilmsh n tiṭṭ,يلمش ن تيطط,The conjunctiva (in the eye)
ⵜⴰⴷⴼⴼⴰⵙⵜ ⵏ ⵜⵉⵟⵟ,cornée,قرنية العين,tadffast n tiṭṭ,تادففاست ن تيطط,The cornea of the eye
ⵜⴰⵎⴰⴹⵓⵏⵜ ⵏ ⵜⵟⵟⴰⵡⵉⵏ,ophtalmie,أمراض العيون,tamaḍunt n tṭṭawin,تاماضونت ن تططاوين,Eye diseases
ⵜⴰⵎⵍⵍⵉ ⵏ ⵜⵉⵟⵟ,sclérotique (blanc de l'œil),بياض العين,tamlli n tiṭṭ,تامللي ن تيطط,The whiteness of the eye.
ⵜⴰⵙⵏⵉⵊⵊⵉⵜ ⵏ ⵜⵟⵟⴰⵡⵉⵏ,ophtalmologie,طب العيون,tasnijjit n tṭṭawin,تاسنيججيت ن تططاوين,Ophthalmology
ⵜⴰⵥⴰⵢⵕⵜ ⵏ ⵜⵉⵟⵟ,pourtour de l'œil,محيط العين,taẓayṛt n tiṭṭ,تازّايرت ن تيطط,The area around the eye.
ⵜⴰⵥⵟⵟⴰⵜ ⵏ ⵜⵉⵟⵟ,rétine,شبكية (العين),taẓṭṭat n tiṭṭ,تازّططات ن تيطط,Retina (of the eye)
ⵜⵉⵍⵉⵏⵜⵉⵜ ⵏ ⵜⵉⵟⵟ,cristallin,عدسة,tilintit n tiṭṭ,تيلينتيت ن تيطط,Lens
ⵜⵉⵎⵇⵇⴰ ⵏ ⵜⵟⵟⴰⵡⵉⵏ,collyre,قطرة للعين,timqqa n tṭṭawin,تيمققا ن تططاوين,Eye drop
ⴰⵏⵓⴼⵙⵍ ⵏ ⵜⵥⵟⵟⴰⵜ ⵏ ⵜⵉⵟⵟ,détachement de la rétine,انفصال الشبكية,anufsl n tẓṭṭat n tiṭṭ,انوفسل ن تزّططات ن تيطط,Retinal detachment
ⵜⵉⵡⵉⵙⵉ ⵜⴰⵏⵣⵔⴰⴼⵜ,"assistance judiciaire, aide judiciaire",مساعدة قضائية,tiwisi tanzraft,تيويسي تانزرافت,Legal assistance
ⵜⵉⵡⵉⵙⵉ ⵜⵓⵍⴳⵉⵏⵜ,assistance juridique,مساعدة قانونية,tiwisi tulgint,تيويسي تولڭينت,Legal assistance
ⴼⴰⵔ ⵜⵉⵡⵛⵛⴰ,surlendemain,بعد غد,far tiwshsha,فار تيوششا,The day after tomorrow
ⵜⵉⵢⵜⵉ ⴳ,recours,طعْن,tiyti g,تييتي ڭ,"""Stabbing"" or ""Impugnation,"" depending on the context. Could you provide more context for a more accurate translation?"
ⵜⵉⵢⵜⵉ ⵙ ⵓⴳⴰⵔⵉ,bombardement,قصْف,tiyti s ugari,تييتي س وڭاري,Bombing
ⵜⵉⵢⵜⵉ ⵙ ⵜⵉⴷⵜ,coup franc,ضربة خطأ,tiyti s tidt,تييتي س تيدت,A foul strike.
ⵜⵉⵢⵜⵉ ⵜⴰⵏⴼⴳⵓⵔⵜ,penalty,ضربة جزاء,tiyti tanfgurt,تييتي تانفڭورت,Penalty kick
ⴰⵙⴳⵉⵔ ⵏ ⵜⵉⵣⵉ,ajournement,تأجيل,asgir n tizi,اسڭير ن تيزي,Postponement
ⴰⵙⴰⵖⵓⵍ ⵏ ⵜⵉⵣⵉ,réhabilitation,إعادة الاعتبار,asaghul n tizi,اساغول ن تيزي,Restoration of dignity.
ⵜⴰⵖⴰⵍⵜ ⵏ ⵜⵣⵣⵉⴷⴳⴰ,Présomption d'innocence,قرينة البراءة,taghalt n tzzidga,تاغالت ن تززيدڭا,Presumption of innocence
ⵜⵉⵥⵉⵍⵜ ⵜⵉⵎⵙⵍⵉⵜ,esthétique acoustique,جمالية صوتية,tiẓilt timslit,تيزّيلت تيمسليت,Auditory beauty
ⵜⵓⴳⴷⵓⵜ ⵜⴰⵥⵕⴼⴰⵏⵜ,contrepartie financière,مقابل مالي,tugdut taẓṛfant,توڭدوت تازّرفانت,Financial compensation
ⵙ ⵜⵓⴳⵜⵜ,Au plus,على الأكثر,s tugtt,س توڭتت,At most
ⵜⵓⴷⴷⵓⵔⵜ ⵜⴰⵎⵙⴷⴰⵡⵜ,cité universitaire,حي جامعي,tuddurt tamsdawt,توددورت تامسداوت,University neighborhood
ⵜⵓⴷⵉⴼⵜ ⵏ ⵓⵎⴰⵡⴰⵍ,entrée lexicographique,مدخل معجمي,tudift n umawal,توديفت ن وماوال,Lexical entry
ⵜⵓⴷⵔⵖⵍⵜ ⵏ ⵢⵉⴹ,héméralopie (cécité nocturne),العمى الليلي، العشا الليلي,tudrghlt n yiḍ,تودرغلت ن ييض,Night blindness.
ⵜⵓⴷⵔⵜ ⵜⵓⵙⵍⵉⴳⵜ,vie privée,حياة شخصية,tudrt tusligt,تودرت توسليڭت,Personal life
ⵡⴰⵔ ⵜⵓⴼⴼⴰⵢⵜ,non emphatique,مرقق، غير مفخم,war tuffayt,وار توففايت,"Thin, not emphatic."
ⵡⴰⵔ ⵜⵓⴼⵖⵜ,sans issue,بدون مخرج,war tufght,وار توفغت,Without an exit.
ⵜⵓⴽⵏⵉ ⵏ ⵓⵙⵡⵉⵔ,courbe de niveau,منحنى التسوية,tukni n uswir,توكني ن وسوير,Leveling curve
ⵜⵓⴽⵣⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ,reconnaissance vocale,تعرف صوتي,tukza tagṛḍant,توكزا تاڭرضانت,You recognize my voice.
ⵜⵓⵇⵇⵏⴰ ⵜⵓⵛⵛⵉⵍⵜ,confinement obligatoire,حَظْرٌ إلْزاميّ، إغلاق إلْزاميّ,tuqqna tushshilt,توققنا توششيلت,"Mandatory ban, mandatory lockdown"
ⵜⵓⵎⴰⵏⵜ ⵜⴰⵎⴰⵙⵙⴰⵏⵜ,phénomène scientifique,ظاهرة علمية,tumant tamassant,تومانت تاماسسانت,A scientific phenomenon
ⵜⵓⵏⵏⵓⵏⵜ ⵏ ⵓⵎⵉⵥⴹ,gymnastique,جمباز,tunnunt n umiẓḍ,توننونت ن وميزّض,Gymnastics
ⵜⵓⵏⵖⵉⵍⵜ ⵜⴰⴽⵏⵉⵡⵜ,copie conforme,نسخة طبق الأصل,tunghilt takniwt,تونغيلت تاكنيوت,An exact copy.
ⵜⵉⴽⴽⵉ ⵏ ⵜⵓⵔⴰⴳⵉⵏ,octroi de licences,منْح التراخيص,tikki n turagin,تيككي ن توراڭين,Granting licenses
ⵜⵓⵔⴰⴳⵜ ⵏ ⵜⵀⵉⵔⵉⵜ,carte grise,بطاقة رمادية,turagt n thirit,توراڭت ن تهيريت,Gray card
ⵙ ⵜⵓⵔⴽⵙⴰ,en cachette,خفية,s turksa,س توركسا,Secretly
ⴰⵙⴰⵔⵓ ⵏ ⵜⵓⵔⵉⵏ,bronche,قصبة هوائية,asaru n turin,اسارو ن تورين,Trachea
ⵜⴰⴱⴰⴽⵜⵉⵔⵉⵜ ⵏ ⵜⵓⵔⵉⵏ,pneumocoque,مِكوّرة رئوية,tabaktirit n turin,تاباكتيريت ن تورين,Pneumococcal (related to pneumococcus).
ⵜⴰⵎⴰⴹⵓⵏⵜ ⵏ ⵜⵓⵔⴰ /ⵜⵓⵔⵉⵏ,tuberculose,مرض السل,tamaḍunt n tura /turin,تاماضونت ن تورا /تورين,Tuberculosis (TB)
ⵜⵉⵃⵔⵓⵣⵉⵏ ⵏ ⵜⵓⵔⵉⵏ,lobes du poumon,فصوص الرئة,tiḥruzin n turin,تيحروزين ن تورين,Lobes of the lung
ⵜⵉⵚⴹⵡⵉⵏ ⵏ ⵜⵓⵔⵉⵏ,arbre respiratoire,تفرعات رئوية,tiṣḍwin n turin,تيصضوين ن تورين,Pulmonary branches
ⵜⵉⵛⵏⴱⵉⵜ ⵏ ⵜⵓⵔⵉⵏ,alvéole pulmonaire,حويصلة رئوية,tishnbit n turin,تيشنبيت ن تورين,Alveolar sac
ⴰⴼⴷⵓⴷⴷⵔ ⵏ ⵜⵓⵔⵉⵏ,pneumonie,التهاب الرئة,afduddr n turin,افدوددر ن تورين,Pneumonia
ⵜⵓⵔⵜⵉⵜ ⵏ ⵉⵎⵥⵢⴰⵏⵏ,jardin d'enfants,روض الأطفال,turtit n imẓyann,تورتيت ن يمزّيانن,Kindergarten
ⵜⵓⵕⵥⵉⵎⵜ ⵜⴰⴼⵉⵔⵓⵙⵜ,excrétion virale,إفراز فيروسي,tuṛẓimt tafirust,تورزّيمت تافيروست,Viral secretion
ⵜⵓⵖⵎⴰⵙ ⵏ ⴷⴰⵜ,incisive,قاطعة,tughmas n dat,توغماس ن دات,"""Interrupting"" or ""interruptive,"" depending on the context. Could you provide more context for a more accurate translation?"
ⴰⵙⴼⵉⴼ ⵏ ⵜⵓⵙⵎⵉⵔⵜ,bande annonce,شريط إعلاني,asfif n tusmirt,اسفيف ن توسميرت,Advertisement banner
ⵜⵓⵙⵓⵔⵉⵏ ⵜⵉⵙⵉⵏⴰⵏⵉⵏ,effets secondaires,آثار جانبية,tusurin tisinanin,توسورين تيسينانين,Side effects
ⵜⵓⵙⵓⵔⵜ ⵜⵉⵎⴷⵡⵍⵜ,effet rétroactif,أثر رجعي,tusurt timdwlt,توسورت تيمدولت,Retroactive effect
ⵜⵓⵙⵙⵏⵉⵡⵉⵏ ⵏ ⵓⵙⵏⵜⵉ,Pré requis,معارف قبلية,tussniwin n usnti,توسسنيوين ن وسنتي,Prior knowledge
ⵡⴰⵔ ⵜⵓⵙⵙⵏⴰ,ignorant,جاهل,war tussna,وار توسسنا,Ignorant
ⵜⵓⵔⴰⴳⵜ ⵏ ⵜⵓⵚⴽⴰ,"permis de construire, permis de bâtir",رخصة البناء,turagt n tuṣka,توراڭت ن توصكا,Building permit
ⵜⵓⵚⴽⵉⵡⵜ ⵜⴰⵏⴰⴷⴷⴰⵡⵜ,infrastructure,بنية تحتية,tuṣkiwt tanaddawt,توصكيوت تانادداوت,Infrastructure
ⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⵎⴰⴷⴷⵓⴷⵜ,langue officielle,لغة رسمية,tutlayt tamaddudt,توتلايت تاماددودت,Official language
ⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⵢⵎⵎⴰⵜ,Langue maternelle,لغة أم,tutlayt taymmat,توتلايت تايممات,Mother tongue
ⵜⵓⵜⵍⴰⵢⵜ ⵜⴰⵥⵓⵕⴰⵏⵜ,Protolangue,لغة أولية,tutlayt taẓuṛant,توتلايت تازّورانت,Primary language
ⵜⵓⵜⵔⴰ ⵏ ⵜⵓⵔⴰⴳⵜ,"demande d’autorisation, demande de licence",طلبُ الإذن، طلبُ الترخيص,tutra n turagt,توترا ن توراڭت,"Request for permission, request for a license."
ⵜⵓⵣⵉⵏⵜ ⵜⴰⵍⵉⴽⵟⵕⵓⵏⵉⵜ,"message électronique, courriel",رسالة إلكترونية,tuzint talikṭṛunit,توزينت تاليكطرونيت,Email
ⵜⵓⵥⴹⵉⴹⵜ ⵜⴰⵍⵏⴼⴰⵡⵜ,tissu lymphatique,نسيج لمفاوي,tuẓḍiḍt talnfawt,توزّضيضت تالنفاوت,Lymphatic tissue
ⵜⵓⵥⴹⵉⴹⵜ ⵜⴰⵏⴽⵙⵓⵎⵜ,tissu musculaire,نسيج عضلي,tuẓḍiḍt tanksumt,توزّضيضت تانكسومت,Muscle tissue
ⵜⵓⵥⴹⵉⴹⵜ ⵜⴰⵏⵣⵍⵓⵎⵜ,tissu nerveux,نسيج عصبي,tuẓḍiḍt tanzlumt,توزّضيضت تانزلومت,Nervous tissue
ⴰⴷⴷⴰⴷ ⵏ ⵜⵓⵥⵡⴰⵢⵜ,état d'urgence,حَالَة طَوارِئٌ,addad n tuẓwayt,ادداد ن توزّوايت,State of emergency
ⵜⵓⵥⵡⴰⵢⵜ ⵜⴰⴷⵓⵙⴰⵏⵜ,urgence sanitaire,طوارئ صحية,tuẓwayt tadusant,توزّوايت تادوسانت,Health emergencies
ⵜⵉⵢⵜⵉ ⵏ ⵜⵔⵉⵙⵉⵏⵜⵉ,choc électrique,صدمة كهربائية,tiyti n trisinti,تييتي ن تريسينتي,Electric shock
ⵙ ⵜⵜⴰⵡⵉⵍ,lentement,ببطء,s ttawil,س تتاويل,Slowly.
ⴰⵔ ⵜⵜⵎⵉ (ⴰⵔⵜ.),etc.,إلخ,ar ttmi (art.),ار تتمي (ارت.),"""Etc."" or ""and so on."""
ⵡⵉⵙ ⵜⵥⴰ,neuvième,تاسع,wis tẓa,ويس تزّا,Ninth
ⴰⵡⴷ ⵢⵓⴽⴽ,"personne, aucun",لا أحد,awd yukk,اود يوكك,No one.
ⵣⴷⵉ ⵖⵔ,se connecter (informatique),ربَط (إعلاميات)، اتصل (إعلاميات),zdi ghr,زدي غر,"Link (informatics), connect (informatics)"
ⵣⵣⵔⵉ (-ⵅⴼ),Réviser,راجع,zzri (-khf),ززري (-خف),Review.
ⵥⵍⵉ (- ⴳ),se séparer de,انفصل عن,ẓli (- g),زّلي (- ڭ),Separated from
ⵥⵍⵉ (- ⵙ),être particulier à,اختص,ẓli (- s),زّلي (- س),Specialize / Summarize / Abbreviate (depending on the context). Could you provide more context for a more accurate translation?
ⵥⵥⴰⵍⵍ (- ⵉ),circoncire,ختَن,ẓẓall (- i),زّزّالل (- ي),"""Khatan"" translates to ""circumcised"" in English. However, if you meant it in a different context, please provide more details for clarification."
ⴰⵣⵎⵣ ⴰⵊⵢⵓⵍⵓⵊⵉ,"période géologique, ère géologique",زمن جيولوجي,azmz ajyuluji,ازمز اجيولوجي,Geological time
ⴰⴳⵏⵣⴰ ⵉⵕⵥⴰⵏ,falaise fracturée,جرف انكساري,agnza iṛẓan,اڭنزا يرزّان,Escarpment
ⴰⴳⵓⵙⵔ ⵓⵖⵣⵉⴼ,pente longitudinale,انحدار طولي,agusr ughzif,اڭوسر وغزيف,Longitudinal slope
ⴰⴳⵕⴹ ⴰⵢⵍⴰⵏ,detroit marin,مضيق بحري,agṛḍ aylan,اڭرض ايلان,A sea strait
ⴰⵃⵍⵓⵜⵜⴼ ⵏ ⵡⴰⴽⴰⵍ,glissement de terrain,انزلاق التربة,aḥluttf n wakal,احلوتتف ن واكال,Soil erosion or landslide
ⴰⵎⵣⵣⴰⵡⵔⵓ ⴰⵎⵇⵔⴰⵏ,lit majeur,المجرى الأكبر,amzzawru amqran,امززاورو امقران,The largest stream
ⴰⵎⵣⵣⴰⵡⵔⵓ ⴰⵎⵥⵢⴰⵏ,lit mineur,المجرى الأصغر,amzzawru amẓyan,امززاورو امزّيان,The smaller stream.
ⴰⵖⵣⵔ ⴰⴱⴰⵔⴰⵡ,fleuve large,واد واسع,aghzr abaraw,اغزر اباراو,A wide valley.
ⴰⵖⵣⵔ ⴰⵎⵉⵔⵉⵡ,ravin large,واد واسع,aghzr amiriw,اغزر اميريو,A wide valley
ⴰⵖⵣⵔ ⴰⵎⵊⴰⵀⴷⵉ,ravin/ valée de largeur moyenne,واد متوسط الاتساع,aghzr amjahdi,اغزر امجاهدي,A moderately wide valley.
ⴰⵖⵣⵔ ⵉⵖⴱⴰⵏ,ravin profond,واد  عميق,aghzr ighban,اغزر يغبان,A deep valley
ⴰⵖⵣⵔ ⵓⵔ ⵉⵖⴱⵉⵏ,ravin en surface,واد سطحي,aghzr ur ighbin,اغزر ور يغبين,A shallow valley
ⴰⵙⴼⴰⵍⵍⵓ ⴱⵓ ⵜⴳⵣⵣⴰⵢⵉⵏ,bord dentelé,حافة مسننة,asfallu bu tgzzayin,اسفاللو بو تڭززايين,A jagged edge.
ⴰⵙⴼⴰⵍⵍⵓ ⵉⵎⴷⵔⵉ,bord festonné,حافة إكليلية,asfallu imdri,اسفاللو يمدري,Coronary edge
ⴰⵙⴼⴰⵍⵍⵓ ⵢⵓⵖⴷⵏ,bord linéaire,حافة مستقيمة,asfallu yughdn,اسفاللو يوغدن,A straight edge
ⴷⴷⵉⵔ ⵏ ⵜⴰⵖⴰⵔⵜ,avant-côte,مقدم الساحل,ddir n taghart,ددير ن تاغارت,The coast presenter
ⴷⴷⵉⵔ ⵏ ⵡⴰⵙⵉⴼ,versant,سفح الوادي,ddir n wasif,ددير ن واسيف,The foothill of the valley.
ⵉⵍⵍ ⵉⵇⵇⵏⵏ,mer fermée,بحر مغلق,ill iqqnn,يلل يققنن,A closed sea.
ⵉⵍⵍ ⵣⵓⵏ ⵉⵇⵇⵏ,mer semi-fermée,بحر شبه مغلق,ill zun iqqn,يلل زون يققن,A semi-enclosed sea
ⴰⴷⴷⴰⴷ ⵏ ⵢⵉⵍⵍ,état de la mer,حالة البحر,addad n yill,ادداد ن ييلل,The state of the sea
ⵉⵍⵍ ⵓⵍⵎⵉⵍ ⴰⵏⴰⵎⵎⴰⵙ,mer méditerranée,البحر الأبيض المتوسط,ill ulmil anammas,يلل ولميل انامماس,The Mediterranean Sea
ⵉⵔⴽⴰⵣⵏ  ⴰⵢⵍⴰⵏⵏ,reliefs marins,تضاريس بحرية,irkazn  aylann,يركازن  ايلانن,Marine topography
ⵉⵔⴽⴰⵣⵏ ⴷⴷⵓ ⵡⴰⵎⴰⵏ,reliefs sous-marins,تضاريس ما تحت الماء,irkazn ddu waman,يركازن ددو وامان,Underwater terrain
ⵉⵔⴽⴰⵣⵏ ⵉⴹⴼⵚⵏ,reliefs plissés,تضاريس ملتوية,irkazn iḍfṣn,يركازن يضفصن,Twisted terrains.
ⵉⵔⴽⴰⵣⵏ  ⵉⵎⵏⵥⴰⵡⵏ,reliefs continentaux,تضاريس قارية,irkazn  imnẓawn,يركازن  يمنزّاون,Continental terrain
ⵉⵔⴽⴰⵣⵏ ⵏ ⵉⴷⵓⵔⴰⵔ,reliefs montagneux,تضاريس جبلية,irkazn n idurar,يركازن ن يدورار,Mountainous terrain
ⵉⵔⴽⴰⵣⵏ ⵉⴱⵓⵔⴽⴰⵏⵏ,reliefs volcaniques,تضاريس بركانية,irkazn iburkann,يركازن يبوركانن,Volcanic terrain
ⵉⵔⴽⴰⵣⵏ ⵏ ⵜⴰⵖⴰⵔⵜ,reliefs côtiers,تضاريس ساحلية,irkazn n taghart,يركازن ن تاغارت,Coastal terrain
ⵉⵔⴽⴰⵣⵏ ⵕⵥⴰⵏⵉⵏ,reliefs accidentés,تضاريس انكسارية,irkazn ṛẓanin,يركازن رزّانين,Faulted terrains
ⵜⴰⵔⵓⵔⵓⵜ ⵉⴼⵔⵙⵏ,crête abrupte,عرف حاد,tarurut ifrsn,تاروروت يفرسن,"""Sharp knowledge"" or ""acute knowledge"" (depending on context)."
ⵜⴰⵔⵓⵔⵓⵜ ⵉⵎⵙⴷⵏ,crête abrupte,عرف حاد,tarurut imsdn,تاروروت يمسدن,A sharp edge.
ⵜⴰⵔⵓⵔⵓⵜ ⵜⴰⵎⴽⵏⴰⵏⵏⵓⵜ,crête convexe,عرف قوسي,tarurut tamknannut,تاروروت تامكناننوت,"""Know my bow."" or ""Recognize my bow."" 

(Note: The exact translation may vary depending on the context.)"
ⵜⴰⵙⴽⴼⵍⵜ ⵏ ⵜⴽⵏⵉ,degré d'inclinaison,درجة الميل,taskflt n tkni,تاسكفلت ن تكني,The degree of slope.
